LIFESTAGE,PREMIUM_CUSTOMER,PROD_NAME,TOT_SALES
YOUNG FAMILIES,Mainstream,CobsPopdSourCrmChivesChips110g,1022.1999999999999
YOUNG FAMILIES,Premium,DoritosCornChipsOriginal170g,1016.4000000000001
MIDAGE SINGLES/COUPLES,Mainstream,ThinsPotatoChipsHotSpicy175g,1006.5
MIDAGE SINGLES/COUPLES,Mainstream,ThinsChipsLightTangy175g,1003.1999999999999
OLDER FAMILIES,Mainstream,ThinsChipsSaltVinegar175g,999.9
RETIREES,Premium,ThinsChipsSaltVinegar175g,970.1999999999999
YOUNG FAMILIES,Mainstream,ThinsChipsLightTangy175g,970.1999999999999
OLDER FAMILIES,Mainstream,ThinsChipsSeasonedchicken175g,970.1999999999999
YOUNG SINGLES/COUPLES,Budget,SmithsCrinkleChipsSaltVinegar330g,969.0
OLDER FAMILIES,Premium,DoritosCornChipsCheeseSupreme170g,963.6
OLDER FAMILIES,Premium,DoritosCornChipMexicanJalapeno150g,947.6999999999999
YOUNG FAMILIES,Premium,CobsPopdSeaSaltChips110g,942.4
OLDER FAMILIES,Budget,NaturalChipCoSeaSaltVinegr175g,942.0
OLDER FAMILIES,Budget,SmithsCrinkleCutChipsOriginal170g,939.6
OLDER FAMILIES,Budget,ThinsChipsOriginlsaltd175g,930.5999999999999
OLDER FAMILIES,Budget,SmithsChipThinlyCutOriginal175g,930.0
RETIREES,Premium,ThinsChipsSeasonedchicken175g,927.3
OLDER FAMILIES,Premium,CobsPopdSeaSaltChips110g,919.5999999999999
YOUNG FAMILIES,Premium,ThinsChipsSaltVinegar175g,917.4
OLDER FAMILIES,Budget,SmithsCrinkleCutChipsBarbecue170g,913.5
OLDER FAMILIES,Budget,SmithsChipThinlySCreamOnion175g,912.0
OLDER FAMILIES,Premium,DoritosCornChipsOriginal170g,906.4000000000001
OLDER FAMILIES,Budget,NaturalChipCoTmatoHrbSpce175g,903.0
YOUNG SINGLES/COUPLES,Budget,SmithsCrnkleChipOrgnlBigBag380g,902.7
OLDER FAMILIES,Premium,CobsPopdSwtChlliSrCreamChips110g,896.8
YOUNG FAMILIES,Premium,DoritosCornChipSouthernChicken150g,881.4
YOUNG SINGLES/COUPLES,Budget,DoritosCornChipsOriginal170g,880.0000000000001
YOUNG FAMILIES,Mainstream,ThinsChipsSeasonedchicken175g,877.8
MIDAGE SINGLES/COUPLES,Mainstream,ThinsChipsSeasonedchicken175g,864.5999999999999
YOUNG FAMILIES,Premium,ThinsPotatoChipsHotSpicy175g,864.5999999999999
YOUNG FAMILIES,Mainstream,ThinsChipsSaltVinegar175g,861.3
YOUNG FAMILIES,Premium,ThinsChipsLightTangy175g,858.0
YOUNG FAMILIES,Mainstream,ThinsPotatoChipsHotSpicy175g,854.6999999999999
MIDAGE SINGLES/COUPLES,Mainstream,ThinsChipsSaltVinegar175g,834.9
OLDER FAMILIES,Budget,SmithsChipThinlyCutSaltVinegr175g,834.0
YOUNG SINGLES/COUPLES,Budget,TostitosSmokedChipotle175g,831.6
OLDER FAMILIES,Budget,FrenchFriesPotatoChips175g,828.0
OLDER FAMILIES,Premium,CobsPopdSourCrmChivesChips110g,824.5999999999999
MIDAGE SINGLES/COUPLES,Premium,DoritosCornChipsOriginal170g,822.8000000000001
OLDER FAMILIES,Premium,ThinsChipsLightTangy175g,821.6999999999999
YOUNG FAMILIES,Budget,ThinsChipsOriginlsaltd175g,808.5
YOUNG SINGLES/COUPLES,Premium,SmithsCrnkleChipOrgnlBigBag380g,808.3000000000001
YOUNG SINGLES/COUPLES,Budget,DoritosCornChipsCheeseSupreme170g,805.2
OLDER FAMILIES,Premium,DoritosCornChipSouthernChicken150g,803.4
OLDER FAMILIES,Budget,SmithsCrinkleCutChipsChsOnion170g,803.3
OLDER FAMILIES,Premium,ThinsChipsSaltVinegar175g,801.9
OLDER FAMILIES,Budget,SmithsCrinkleCutChipsChicken170g,800.4
YOUNG FAMILIES,Budget,SmithsChipThinlyCutOriginal175g,786.0
MIDAGE SINGLES/COUPLES,Premium,DoritosCornChipsNachoCheese170g,783.2
OLDER FAMILIES,Premium,ThinsPotatoChipsHotSpicy175g,782.0999999999999
RETIREES,Mainstream,ThinsChipsOriginlsaltd175g,782.0999999999999
MIDAGE SINGLES/COUPLES,Premium,TostitosSmokedChipotle175g,778.8000000000001
YOUNG SINGLES/COUPLES,Budget,DoritosCornChipsNachoCheese170g,778.8000000000001
OLDER FAMILIES,Premium,ThinsChipsSeasonedchicken175g,778.8
OLDER FAMILIES,Budget,NaturalChipCompnySeaSalt175g,771.0
MIDAGE SINGLES/COUPLES,Premium,DoritosCornChipMexicanJalapeno150g,764.4
OLDER FAMILIES,Budget,NaturalChipCoHonySoyChckn175g,750.0
MIDAGE SINGLES/COUPLES,Premium,CobsPopdSeaSaltChips110g,748.5999999999999
YOUNG FAMILIES,Budget,NaturalChipCoTmatoHrbSpce175g,747.0
MIDAGE SINGLES/COUPLES,Premium,SmithsCrinkleChipsSaltVinegar330g,746.7
YOUNG SINGLES/COUPLES,Budget,CobsPopdSwtChlliSrCreamChips110g,744.8
YOUNG FAMILIES,Budget,NaturalChipCoHonySoyChckn175g,738.0
YOUNG FAMILIES,Premium,ThinsChipsSeasonedchicken175g,726.0
YOUNG FAMILIES,Budget,FrenchFriesPotatoChips175g,726.0
YOUNG SINGLES/COUPLES,Budget,ThinsChipsSeasonedchicken175g,719.4
YOUNG FAMILIES,Budget,SmithsCrinkleCutChipsChsOnion170g,719.1999999999999
RETIREES,Mainstream,NaturalChipCoTmatoHrbSpce175g,717.0
YOUNG FAMILIES,Budget,SmithsChipThinlyCutSaltVinegr175g,711.0
RETIREES,Mainstream,NaturalChipCoHonySoyChckn175g,708.0
YOUNG FAMILIES,Budget,SmithsCrinkleCutChipsChicken170g,704.6999999999999
YOUNG FAMILIES,Budget,SmithsCrinkleCutChipsBarbecue170g,698.9
MIDAGE SINGLES/COUPLES,Premium,DoritosCornChipSouthernChicken150g,698.1
YOUNG SINGLES/COUPLES,Budget,CobsPopdSeaSaltChips110g,695.4
MIDAGE SINGLES/COUPLES,Premium,CobsPopdSwtChlliSrCreamChips110g,695.4
MIDAGE SINGLES/COUPLES,Premium,DoritosCornChipsCheeseSupreme170g,695.2
YOUNG SINGLES/COUPLES,Budget,DoritosCornChipSouthernChicken150g,694.1999999999999
YOUNG FAMILIES,Budget,NaturalChipCoSeaSaltVinegr175g,681.0
YOUNG SINGLES/COUPLES,Budget,DoritosCornChipMexicanJalapeno150g,678.6
RETIREES,Mainstream,SmithsChipThinlySCreamOnion175g,678.0
YOUNG SINGLES/COUPLES,Budget,ThinsPotatoChipsHotSpicy175g,676.5
OLDER SINGLES/COUPLES,Budget,NaturalChipCoTmatoHrbSpce175g,675.0
OLDER SINGLES/COUPLES,Premium,ThinsChipsOriginlsaltd175g,673.1999999999999
YOUNG FAMILIES,Budget,SmithsChipThinlySCreamOnion175g,669.0
OLDER SINGLES/COUPLES,Mainstream,NaturalChipCoSeaSaltVinegr175g,666.0
YOUNG FAMILIES,Budget,SmithsCrinkleCutChipsOriginal170g,655.4
YOUNG FAMILIES,Budget,NaturalChipCompnySeaSalt175g,654.0
OLDER SINGLES/COUPLES,Premium,SmithsChipThinlyCutOriginal175g,654.0
OLDER FAMILIES,Mainstream,NaturalChipCoTmatoHrbSpce175g,654.0
OLDER SINGLES/COUPLES,Mainstream,SmithsCrinkleCutChipsChicken170g,652.5
RETIREES,Mainstream,SmithsCrinkleCutChipsChsOnion170g,646.6999999999999
YOUNG SINGLES/COUPLES,Premium,SmithsCrinkleChipsSaltVinegar330g,644.1
YOUNG FAMILIES,Mainstream,SmithsChipThinlyCutOriginal175g,630.0
MIDAGE SINGLES/COUPLES,Premium,CobsPopdSourCrmChivesChips110g,627.0
RETIREES,Mainstream,NaturalChipCoSeaSaltVinegr175g,624.0
OLDER FAMILIES,Mainstream,NaturalChipCoSeaSaltVinegr175g,621.0
MIDAGE SINGLES/COUPLES,Budget,DoritosCornChipsCheeseSupreme170g,620.4000000000001
OLDER FAMILIES,Budget,WWSourCreamOnionStackedChips160g,619.4
OLDER SINGLES/COUPLES,Budget,NaturalChipCompnySeaSalt175g,618.0
RETIREES,Mainstream,SmithsCrinkleCutChipsChicken170g,617.6999999999999
YOUNG SINGLES/COUPLES,Premium,CobsPopdSourCrmChivesChips110g,615.6
MIDAGE SINGLES/COUPLES,Budget,SmithsCrnkleChipOrgnlBigBag380g,613.6
OLDER SINGLES/COUPLES,Budget,SmithsCrinkleCutChipsOriginal170g,606.1
OLDER SINGLES/COUPLES,Budget,NaturalChipCoHonySoyChckn175g,606.0
RETIREES,Mainstream,SmithsChipThinlyCutOriginal175g,606.0
